signal_asset,trading_asset,start,end,bars,sma_length,entry_days,exit_days,total_return,cagr,sharpe,max_drawdown,calmar,trade_count,time_in_market,final_equity
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,5,6.709174135615153,0.21169254923255054,0.8527679812228193,-0.6388713215325009,0.33135397081958584,8,0.7713004484304933,770917.4135615153
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,1,8.814125745746965,0.23950810319062676,0.9817244704226438,-0.4872192094186887,0.4915818148393386,11,0.7380418535127056,981412.5745746965
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,2,10.305534412182022,0.25610409107652643,1.0290714667452043,-0.4440270102433307,0.5767759284197129,11,0.7451420029895366,1130553.4412182022
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,3,8.855241986878418,0.2399953932568144,0.949858750182398,-0.5030365608245799,0.4770933406180513,9,0.757473841554559,985524.1986878418
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,5,6.0248951969347555,0.20114993291456873,0.8259138616151337,-0.6541535161490628,0.3074965248199208,8,0.7653213751868461,702489.5196934756
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,1,6.408921444331879,0.20717546902903483,0.8931675161428005,-0.5041906196049258,0.4109070279636967,11,0.7257100149476831,740892.1444331879
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,2,7.534822002086768,0.2233385496967537,0.9413029052479077,-0.4684087052934973,0.4768027305487702,11,0.7328101644245142,853482.2002086767
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,3,6.917118161045105,0.21472840590241726,0.8851958555230934,-0.5436363560321107,0.3949853675528169,9,0.7473841554559043,791711.8161045104
SPY,SPXL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,5,4.733886075451239,0.17843579334665538,0.7665251753433165,-0.6824077000803602,0.26147974784815997,8,0.7563527653213752,573388.6075451239
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,1,23.632681637985396,0.3515234633883473,1.0438559470954456,-0.5772372894083849,0.6089756670928631,21,0.773916292974589,2463268.1637985394
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,2,19.89822441642309,0.3307934979724463,0.994769272387422,-0.6216429350625905,0.5321278169744503,16,0.781390134529148,2089822.441642309
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,3,15.160262808179848,0.2990109581868745,0.9284501011305132,-0.6652372039580237,0.44948021007818145,15,0.7869955156950673,1616026.2808179848
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,5,15.491366145082313,0.3014902618583446,0.9272268510419095,-0.6996858236337122,0.43089376928147644,12,0.796711509715994,1649136.6145082312
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,1,47.92999533560494,0.44160460262990386,1.2171699495757506,-0.4980355963045707,0.8866928506850004,13,0.7660687593423019,4892999.533560494
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,2,41.3513157583478,0.4221670576783463,1.1607087967076364,-0.6207681365576103,0.6800720475432571,9,0.772795216741405,4235131.57583478
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,3,34.57130908338145,0.39903101019507936,1.1084586943364498,-0.6573549075391181,0.6070252243021913,8,0.7761584454409567,3557130.908338145
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,5,27.404362101958565,0.36974788935566627,1.0501056007723555,-0.6926146514935987,0.5338435861244318,8,0.7832585949177877,2840436.2101958566
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,1,43.13789215774984,0.4277024075760161,1.1961323805173225,-0.48122332859175,0.8887815327399914,10,0.7612107623318386,4413789.215774984
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,2,36.66045966856468,0.4065578081824395,1.1387924148913051,-0.6207681365576103,0.6549269916412808,7,0.7675635276532138,3766045.9668564675
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,3,31.64970596292651,0.3878036717279949,1.0936745333853342,-0.6724641904512731,0.5766904427546543,6,0.7705530642750373,3264970.5962926513
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,5,26.44336805865046,0.3653227657000402,1.0483129954571453,-0.7061691202305613,0.517330417366259,6,0.7742899850523169,2744336.805865046
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,1,32.56305638926903,0.39140816222957553,1.1337442066891108,-0.48214638162113577,0.8118035873535578,10,0.7537369207772795,3356305.638926903
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,2,30.86116495982116,0.38461748502085213,1.101458980967802,-0.6207681365576102,0.6195831621669547,7,0.7623318385650224,3186116.495982116
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,3,27.155997658778038,0.36861738925553555,1.0614274290814063,-0.6917690243781024,0.5328619470739112,6,0.7660687593423019,2815599.765877804
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,5,22.666228654118232,0.34644728008024517,1.0165258757843245,-0.72348739863297,0.4788573798726247,6,0.7698056801195815,2366622.865411823
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,1,28.203182784238415,0.37332418938950274,1.1018707608933054,-0.49308366345167454,0.7571213914818554,10,0.7462630792227205,2920318.2784238416
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,2,25.643044644261604,0.36152900880500916,1.061156365051262,-0.6207681365576103,0.5823897644132021,7,0.7571001494768311,2664304.4644261603
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,3,22.96979558162581,0.3480616520325952,1.0260957524222483,-0.6982789896069487,0.4984564296120583,6,0.7615844544095666,2396979.558162581
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,5,19.1475603848963,0.32622452338348307,0.981720697450026,-0.7293274587262337,0.44729499689101565,6,0.7653213751868461,2014756.03848963
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,1,31.387372986248565,0.38675149967802147,1.13517418005744,-0.48122332859174966,0.8036840209093973,9,0.7354260089686099,3238737.2986248564
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,2,28.393546123399307,0.3741633525097179,1.0880299893607368,-0.6207681365576102,0.6027425224893027,7,0.7492526158445441,2939354.6123399306
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,3,24.837404614638466,0.35760430386598463,1.0458884881484838,-0.6636644836194296,0.5388329686044319,6,0.7548579970104634,2583740.4614638467
QQQ,TQQQ,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,10,5,20.717359578212903,0.3356125946638058,1.0007303661110964,-0.6982749433963515,0.4806310148140414,6,0.7585949177877429,2171735.9578212905
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,1,29.416536700621325,0.37859031418494493,1.0642404887253796,-0.6372069447234987,0.5941402825564394,16,0.7309417040358744,3041653.6700621326
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,2,38.93747072606836,0.41434221440890195,1.1116584510135479,-0.6528141361256544,0.6347016577612052,11,0.7365470852017937,3993747.0726068364
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,3,22.551772801511685,0.34583372884339036,0.9882832611848315,-0.7188512004922101,0.4810922324489295,11,0.7402840059790733,2355177.2801511684
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,1,5,20.04988144573025,0.3316984792073925,0.9621899683690506,-0.7556264409620649,0.43897150923553363,9,0.7470104633781763,2104988.144573025
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,1,49.18726989036142,0.4450472894750297,1.180491741085394,-0.5206151832460733,0.8548488476654248,13,0.7249626307922272,5018726.989036142
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,2,44.55828922206613,0.4319602128656941,1.1402893854357627,-0.6528141361256545,0.6616894288308576,10,0.7320627802690582,4555828.922206613
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,3,24.375153917074613,0.3553020839754206,1.0040139670300061,-0.70452808991745,0.5043121616585247,10,0.7354260089686099,2537515.3917074613
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,2,5,21.39816436331161,0.3394941488307428,0.9754422652609738,-0.7431768430488751,0.45681475681881,9,0.742152466367713,2239816.4363311613
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,1,31.137444263618164,0.38574187197853504,1.085682459300788,-0.5334094933266591,0.7231627423291984,12,0.7201046337817638,3213744.4263618165
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,2,40.23547457870917,0.4186015172535309,1.1226897651552377,-0.6528141361256545,0.6412261838229525,9,0.727204783258595,4123547.4578709174
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,3,22.075790290542546,0.34325285237927905,0.9867875338842175,-0.7294286572080787,0.47057768979504444,9,0.7301943198804185,2307579.0290542548
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,3,5,19.31463200972126,0.3272546025624068,0.9574124244352483,-0.7648203295639435,0.4278842885217088,8,0.7365470852017937,2031463.200972126
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,1,27.316962960623925,0.36935109264191324,1.0616242204183848,-0.5799756835933234,0.6368389280625439,11,0.7115097159940209,2831696.2960623926
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,2,33.39762036064563,0.3946248509487422,1.0862098918754963,-0.6528141361256545,0.6044980172929103,8,0.7204783258594918,3439762.0360645633
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,3,19.427395813840985,0.32794551758736623,0.9631519703771808,-0.7344244353246208,0.4465340500856457,8,0.7230941704035875,2042739.5813840986
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,5,5,18.177339925332483,0.3200850656609151,0.9469423928322953,-0.7691626425335901,0.41614744133512266,7,0.7294469357249627,1917733.9925332484
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,1,25.66040540599769,0.3616123928323165,1.0503833453509233,-0.6026542891743392,0.6000328867280447,11,0.703288490284006,2666040.540599769
XLK,TECL,2016-01-04 05:00:00+00:00,2026-08-25 04:00:00+00:00,2676,200,7,2,29.330244682415287,0.37822213937842775,1.0604453575069757,-0.6528141361256543,0.5793718586167796,8,0.7144992526158446,3033024.4682415286
